7zip 24.09-3
lib32-alsa-plugins 1.2.12-1
lib32-amdvlk 2025.Q2.1-1
lib32-audit 4.0.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.13.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.1-1
lib32-fontconfig 2:2.16.2-1
lib32-freetype2 2.13.3-3
lib32-gcc-libs 15.1.1+r7+gf36ec88aa85a-1
lib32-glib2 2.84.1-1
lib32-glibc 2.41+r48+g5cb575ca9a3d-1
lib32-harfbuzz 11.2.1-1
lib32-icu 76.1-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.193-1
lib32-libffi 3.4.8-1
lib32-libgcrypt 1.11.1-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.65.0-1
lib32-libnghttp3 1.9.0-1
lib32-libnm 1.52.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.2-1
lib32-libpng 1.6.48-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.3-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.12-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.5-2
lib32-libxml2 2.14.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-2
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.0.5-1
lib32-ncurses 6.5-2
lib32-nspr 4.36-1
lib32-nss 3.111-1
lib32-openssl 1:3.5.0-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.7.0-1
lib32-pcre2 10.45-1
lib32-pipewire 1:1.4.2-1
lib32-spirv-tools 1:1.4.313.0-1
lib32-sqlite 3.49.1-1
lib32-systemd 257.5-1
lib32-util-linux 2.41-1
lib32-vulkan-icd-loader 1.4.313.0-1
lib32-wayland 1.23.1-1
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libadwaita 1:1.7.2-1
libaio 0.3.113-3
libao 1.2.2-6
libarchive 3.7.9-2
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libavc1394 0.5.4-6
libavif 1.3.0-1
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libbluray 1.3.4-3
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcbor 0.11.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.12-1
libcurl-gnutls 8.13.0-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdecor 0.2.3-1
libdisplay-info 0.2.0-2
libdovi 3.3.1-1
libdrm 2.4.124-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.0-1
libelf 0.193-2
libepoxy 1.5.10-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libfdk-aac 2.0.3-1
libffi 3.4.8-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libgcrypt 1.11.1-1
libgdiplus 6.2-1
libgirepository 1.84.0-1
libglvnd 1.7.0-1
libgpg-error 1.55-1
libgudev 238-3
libice 1.1.2-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimobiledevice 1.3.0-16
libimobiledevice-glue 1.3.1-1
libinih 58-1
libinput 1.28.1-1
libiscsi 1.20.0-2
libisl 0.27-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libjpeg-turbo 3.1.0-1
libjxl 0.11.1-3
libksba 1.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.9-1
libliftoff 0.5.0-1
liblouis 3.33.0-1
libmd 1.1.0-2
libmm-glib 1.24.0-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpdclient 2.22-1
libmysofa 1.3.3-1
libnbd 1.22.1-2
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-3
libnftnl 1.2.9-1
libnghttp2 1.65.0-1
libnghttp3 1.9.0-1
libngtcp2 1.12.0-1
libnice 0.1.22-2
libnl 3.11.0-1
libnm 1.52.0-1
libnotify 0.8.6-1
libnsl 2.0.1-1
libnvidia-container 1.17.6-1
libogg 1.3.5-2
libopenmpt 0.7.13-2
libosinfo 1.12.0-2
libp11-kit 0.25.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.2-1
libplacebo 7.349.0-7
libplist 2.6.0-2
libpng 1.6.48-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libraw1394 2.1.2-4
librsvg 2:2.60.0-2
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.5-1
libslirp 4.9.0-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspeechd 0.12.1-1
libspng 0.7.4-2
libssh 0.11.1-1
libssh2 1.11.1-1
libstemmer 3.0.1-1
libsysprof-capture 48.0-5
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.0-1
libtirpc 1.3.6-1
libtool 2.5.4+r23+g5b582aed-1
libtorrent-rasterbar 1:2.0.11-4
libtraceevent 1:1.8.4-1
libtracefs 1.8.2-1
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.1-3
liburcu 0.15.1-1
liburing 2.9-1
libusb 1.0.28-1
libusbmuxd 2.1.0-1
libuv 1.51.0-1
libva 2.22.0-1
libva-nvidia-driver 0.0.13-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:11.3.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:11.3.0-1
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.0-1
libwacom 2.15.0-2
libwebp 1.5.0-1
libwireplumber 0.5.8-1
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.4-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.9.2-1
libxkbcommon-x11 1.9.2-1
libxkbfile 1.1.3-1
libxml2 2.14.3-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.3-1
licenses 20240728-1
lilv 0.24.26-1
linux 6.14.6.arch1-1
linux-api-headers 6.14-1
linux-firmware 20250508.788aadc8-1
linux-firmware-whence 20250508.788aadc8-1
linux-headers 6.14.6.arch1-1
llvm-libs 19.1.7-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.4-1
lua 5.4.7-1
luajit 2.1.1741730670-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
man-pages 6.14-1
md4c 0.5.2-1
mesa 1:25.0.5-1
meson 1.8.0-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mono 6.12.0.206-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.32.10-1
mpv 1:0.40.0-2
mtdev 1.1.7-1
mujs 1.3.6-1
multipath-tools 0.11.0-1
ncurses 6.5-4
ndctl 79-1
nettle 3.10.1-1
networkmanager 1.52.0-1
nftables 1:1.1.3-1
ninja 1.12.1-2
nodejs 23.11.1-1
noto-fonts-emoji 1:2.047-1
npth 1.8-1
nspr 4.36-1
nss 3.111-1
ntp 4.2.8.p18-3
numactl 2.0.19-1
nvidia-container-toolkit 1.17.6-1
nvidia-dkms 570.144-3
nvidia-utils 570.144-3
nwg-look 1.0.5-1
obsidian 1.8.10-1
ocl-icd 2.3.3-1
openal 1.24.3-1
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.0-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250124-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250503-1
pahole 1:1.30-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-error 0.17030-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
phodav 3.0-4
pinentry 1.3.1-5
pipewire 1:1.4.2-1
pipewire-audio 1:1.4.2-1
pipewire-pulse 1:1.4.2-1
pixman 0.46.0-1
pkgconf 2.4.3-1
playerctl 2.4.1-4
polkit 126-2
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
psmisc 23.7-1
pugixml 1.15-2
python 3.13.3-1
python-attrs 24.1.0-1
python-cairo 1.28.0-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.2-1
python-cryptography 44.0.3-1
python-dbus 1.4.0-1
python-filelock 3.18.0-1
python-gobject 3.52.3-3
python-idna 3.10-2
python-packaging 25.0-1
python-pip 25.1.1-1
python-pycparser 2.22-3
python-pyxdg 0.28-4
python-requests 2.32.3-4
python-tqdm 4.67.1-2
python-urllib3 2.4.0-1
python-wheel 0.45.1-1
qbittorrent 5.1.0-1
qemu-audio-alsa 10.0.0-1
qemu-audio-dbus 10.0.0-1
qemu-audio-jack 10.0.0-1
qemu-audio-oss 10.0.0-1
qemu-audio-pa 10.0.0-1
qemu-audio-pipewire 10.0.0-1
qemu-audio-sdl 10.0.0-1
qemu-audio-spice 10.0.0-1
qemu-base 10.0.0-1
qemu-block-curl 10.0.0-1
qemu-block-dmg 10.0.0-1
qemu-block-gluster 10.0.0-1
qemu-block-iscsi 10.0.0-1
qemu-block-nfs 10.0.0-1
qemu-block-ssh 10.0.0-1
qemu-chardev-baum 10.0.0-1
qemu-chardev-spice 10.0.0-1
qemu-common 10.0.0-1
qemu-desktop 10.0.0-1
qemu-docs 10.0.0-1
qemu-emulators-full 10.0.0-1
qemu-full 10.0.0-1
qemu-hw-display-qxl 10.0.0-1
qemu-hw-display-virtio-gpu 10.0.0-1
qemu-hw-display-virtio-gpu-gl 10.0.0-1
qemu-hw-display-virtio-gpu-pci 10.0.0-1
qemu-hw-display-virtio-gpu-pci-gl 10.0.0-1
qemu-hw-display-virtio-vga 10.0.0-1
qemu-hw-display-virtio-vga-gl 10.0.0-1
qemu-hw-s390x-virtio-gpu-ccw 10.0.0-1
qemu-hw-uefi-vars 10.0.0-1
qemu-hw-usb-host 10.0.0-1
qemu-hw-usb-redirect 10.0.0-1
qemu-hw-usb-smartcard 10.0.0-1
qemu-img 10.0.0-1
qemu-pr-helper 10.0.0-1
qemu-system-aarch64 10.0.0-1
qemu-system-alpha 10.0.0-1
qemu-system-alpha-firmware 10.0.0-1
qemu-system-arm 10.0.0-1
qemu-system-arm-firmware 10.0.0-1
qemu-system-avr 10.0.0-1
qemu-system-hppa 10.0.0-1
qemu-system-hppa-firmware 10.0.0-1
qemu-system-loongarch64 10.0.0-1
qemu-system-m68k 10.0.0-1
qemu-system-microblaze 10.0.0-1
qemu-system-microblaze-firmware 10.0.0-1
qemu-system-mips 10.0.0-1
qemu-system-or1k 10.0.0-1
qemu-system-ppc 10.0.0-1
qemu-system-ppc-firmware 10.0.0-1
qemu-system-riscv 10.0.0-1
qemu-system-riscv-firmware 10.0.0-1
qemu-system-rx 10.0.0-1
qemu-system-s390x 10.0.0-1
qemu-system-s390x-firmware 10.0.0-1
qemu-system-sh4 10.0.0-1
qemu-system-sparc 10.0.0-1
qemu-system-sparc-firmware 10.0.0-1
qemu-system-tricore 10.0.0-1
qemu-system-x86 10.0.0-1
qemu-system-x86-firmware 10.0.0-1
qemu-system-xtensa 10.0.0-1
qemu-tests 10.0.0-1
qemu-tools 10.0.0-1
qemu-ui-curses 10.0.0-1
qemu-ui-dbus 10.0.0-1
qemu-ui-egl-headless 10.0.0-1
qemu-ui-gtk 10.0.0-1
qemu-ui-opengl 10.0.0-1
qemu-ui-sdl 10.0.0-1
qemu-ui-spice-app 10.0.0-1
qemu-ui-spice-core 10.0.0-1
qemu-user 10.0.0-1
qemu-vhost-user-gpu 10.0.0-1
qemu-vmsr-helper 10.0.0-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r131-1
qt5-declarative 5.15.16+kde+r22-3
qt5-location 5.15.16+kde+r7-4
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-svg 5.15.16+kde+r5-3
qt5-tools 5.15.16+kde+r3-6
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-7
qt5-x11extras 5.15.16-3
qt6-base 6.9.0-1
qt6-declarative 6.9.0-2
qt6-svg 6.9.0-1
qt6-translations 6.9.0-1
qt6-wayland 6.9.0-2
rav1e 0.7.1-1
re2 1:20240702-4
readline 8.2.013-1
rhash 1.4.4-1
ripgrep 14.1.1-1
rpcbind 1.2.7-2
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.3.0-1
rust 1:1.87.0-1
sbc 2.0-2
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-1
sdl2_image 2.8.8-1
sdl3 3.2.14-1
seabios 1.16.3-1
seatd 0.9.1-1
sed 4.9-3
sequoia-sqv 1.3.0-1
serd 0.32.4-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
simdjson 1:3.12.3-1
slang 2.3.3-3
snappy 1.2.2-2
sndio 1.10.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.3-1
speech-dispatcher 0.12.1-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-1
spice-gtk 0.42-4
spice-protocol 0.14.5-1
spirv-tools 1:1.4.313.0-1
spotify-launcher 0.6.3-1
sqlite 3.49.2-1
sratom 0.6.18-1
srt 1.5.4-1
steam 1.0.0.82-2
sudo 1.9.16.p2-2
svt-av1 3.0.2-1
swww 0.9.5-2
systemd 257.5-3
systemd-libs 257.5-3
systemd-sysvcompat 257.5-3
taglib 2.0.2-1
tar 1.35-2
tdb 1.4.13-1
texinfo 7.2-1
tinysparql 3.9.2-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tslib 1.23-1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
unzip 6.0-22
upower 1.90.9-1
usbredir 0.15.0-1
usbutils 018-1
util-linux 2.41-4
util-linux-libs 2.41-4
uwsm 0.21.4-1
v4l-utils 1.30.1-1
vapoursynth R70-2
vde2 2.3.3-6
vid.stab 1.1.1-2
vim 9.1.1376-1
vim-runtime 9.1.1376-1
virglrenderer 1.1.1-1
virt-install 5.0.0-1
virt-manager 5.0.0-1
virtiofsd 1.13.1-1
vmaf 3.0.0-1
vte-common 0.80.1-1
vte3 0.80.1-1
vulkan-icd-loader 1.4.313.0-1
wavpack 5.8.1-1
waybar 0.12.0-1
wayland 1.23.1-2
wayland-protocols 1.44-1
webrtc-audio-processing-1 1.3-4
which 2.23-1
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
wofi 1.4.1-1
wolfssl 5.8.0-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-desktop-portal 1.20.1-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.9-9
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xkeyboard-config 2.44-1
xorg-fonts-encodings 1.1.0-1
xorg-server-common 21.1.16-1
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.6-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
zenity 4.1.90-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zsh 5.9-5
zsh-syntax-highlighting 0.8.0-1
zstd 1.5.7-2
